"columns","rows","columnnames","rownames","correlation_vec","reg_coeff","reg_const","stat_sig","sample_size"
294,641,"fritid3","måltid9",-0.248018837629213,-0.14393115942029,1.94429347826087,0.00931417912162619,69327
747,384,"sosmedia2_8","samftil6",0.216658379226662,0.0482225148123767,0.00246872942725446,0.00934779001627321,49787
216,184,"energru4","trygg4",-0.2284633312816,-0.303581914268937,3.91603053435115,0.0094918755981103,49903
288,499,"skolprob3","alkskaf2_9",-0.166766709048386,-0.209021296960995,1.51854510648481,0.00949649699046063,40374
319,317,"vennkont2","nettmøte1",0.223169329529957,0.469047619047621,0.930952380952377,0.0095435296755483,93891
390,279,"alvor3","skulkgr2",-0.233692675356962,-0.688053097345131,4.27212389380532,0.00958024417577619,76859
593,551,"helsest3_4","eat1",-0.204784864681472,-0.0924614305750351,0.610869565217391,0.00961527888363337,35320
590,541,"helsest3_1","doping3_3",-0.161518641501309,-0.379781420765028,0.463114754098361,0.00963472288814519,62492
756,375,"spilltid3_8","poldelt1",-0.200896753161304,-0.175986842105262,0.457236842105262,0.00967085256485267,44662
378,754,"poldelt5","spilltid3_6",-0.200151302413979,-0.0910728910728914,1.98198198198199,0.00972379569039719,141689
157,217,"oppdragelse4","energru6",-0.336706437016583,-0.0977218225419665,1.36510791366906,0.00975483311564352,53537
533,647,"depr7_2010","narko8",-0.163841299197924,-0.363733009340118,3.52190751006151,0.0100507072318925,93103
354,395,"friluft1","hatytring6",-0.1832446951095,-0.481042654028437,4.36137440758293,0.0101457420844706,39802
376,750,"poldelt2","spilltid3_2",-0.198834348203886,-0.167948717948718,1.96794871794872,0.0102246299133386,141689
674,476,"påvifor9","alkprob14",0.298772852734691,0.405648267008987,1.38254172015404,0.0102407512387699,40984
570,728,"forhfor12","skolvansk1",-0.23522782406634,-0.104622871046229,1.67681141490371,0.0103440011700963,32616
